trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.008016600011615083,,0.004791100014699623,0.008016600011615083,1.0113400999980513,1.0113400999980513,1.0113400999980513,1.0628693000180647,up,0,0.04726920000393875,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
1,0,1,0,1.0776889999979176,,1.0656826000194997,1.0776889999979176,2.0777219000156038,2.0777219000156038,2.0777219000156038,2.564093699998921,up,0,0.46933580000768416,None,2,2.3777285999967717,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
2,0,2,0,2.5774528000038117,,2.5667476000089664,2.5774528000038117,3.5777716000156943,3.5777716000156943,3.5777716000156943,3.696284100005869,down,0,0.10325889999512583,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
3,0,3,0,3.7109130000171717,,3.698861700017005,3.7109130000171717,4.710487600008491,4.710487600008491,4.710487600008491,5.162379300018074,down,1,0.4351018000161275,None,-4,5.010691900009988,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
4,0,4,0,5.177206799999112,,5.165054300014162,5.177206799999112,6.17725999999675,6.17725999999675,6.17725999999675,6.278627100022277,up,0,0.08682659998885356,None,2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
5,0,5,0,6.29375940002501,,6.281194000010146,6.29375940002501,7.29403370001819,7.29403370001819,7.29403370001819,7.511571500013815,down,1,0.2098000999831129,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
6,0,6,0,7.5269742000091355,,7.51352800001041,7.5269742000091355,8.52696040002047,8.52696040002047,8.52696040002047,8.728594800020801,up,0,0.18693239998538047,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
7,0,7,0,8.743533900007606,,8.731358400022145,8.743533900007606,9.743477900017751,9.743477900017751,9.743477900017751,9.82849470002111,down,1,0.06830019998596981,None,-4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
8,0,8,0,9.8435513000004,,9.831522599997697,9.8435513000004,10.843582200002857,10.843582200002857,10.843582200002857,10.97969040001044,up,1,0.13356970000313595,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
9,0,9,0,10.993197400006466,,10.982180500024697,10.993197400006466,11.993345499999123,11.993345499999123,11.993345499999123,12.194797600008314,down,1,0.1952208000002429,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
